Atomic Number,Name,Symbol,El. Configuration,Atomic Mass (u),Atomic Radius (pm),Covalent Radius Pyykko (pm),Electronegativity (Ghosh),Electronegativity (Pauling)
1,Hydrogen,H,['1s1'],1.008,25.0,32.0,0.2638,2.2
2,Helium,He,['1s2'],4.002602,120.0,46.0,0.442712,
3,Lithium,Li,"['1s2', '2s1']",6.94,145.0,133.0,0.105093,0.98
4,Beryllium,Be,"['1s2', '2s2']",9.0121831,105.0,102.0,0.144986,1.57
5,Boron,B,"['1s2', '2s2', '2p1']",10.81,85.0,85.0,0.184886,2.04
6,Carbon,C,"['1s2', '2s2', '2p2']",12.011,70.0,75.0,0.22477600000000003,2.55
7,Nitrogen,N,"['1s2', '2s2', '2p3']",14.007,65.0,71.0,0.26493,3.04
8,Oxygen,O,"['1s2', '2s2', '2p4']",15.999,60.0,63.0,0.304575,3.44
9,Fluorine,F,"['1s2', '2s2', '2p5']",18.998403163,50.0,64.0,0.344443,3.98
10,Neon,Ne,"['1s2', '2s2', '2p6']",20.1797,160.0,67.0,0.38439,
11,Sodium,Na,"['1s2', '2s2', '2p6', '3s1']",22.98976928,180.0,155.0,0.093214,0.93
12,Magnesium,Mg,"['1s2', '2s2', '2p6', '3s2']",24.305,150.0,139.0,0.121644,1.31
13,Aluminum,Al,"['1s2', '2s2', '2p6', '3s2', '3p1']",26.9815385,125.0,126.0,0.150078,1.61
14,Silicon,Si,"['1s2', '2s2', '2p6', '3s2', '3p2']",28.085,110.0,115.99999999999999,0.178503,1.9
15,Phosphorus,P,"['1s2', '2s2', '2p6', '3s2', '3p3']",30.973761998,100.0,111.00000000000001,0.206931,2.19
16,Sulfur,S,"['1s2', '2s2', '2p6', '3s2', '3p4']",32.06,100.0,103.0,0.23596,2.58
17,Chlorine,Cl,"['1s2', '2s2', '2p6', '3s2', '3p5']",35.45,100.0,99.0,0.263803,3.16
18,Argon,Ar,"['1s2', '2s2', '2p6', '3s2', '3p6']",39.948,71.0,96.0,0.2922,
19,Potassium,K,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s1']",39.0983,220.0,196.0,0.0981896,0.82
20,Calcium,Ca,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2']",40.078,180.0,171.0,0.1154119,1.0
21,Scandium,Sc,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d1', '4s2']",44.955908,160.0,148.0,0.11938330000000001,1.36
22,Titanium,Ti,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d2', '4s2']",47.867,140.0,136.0,0.12336369999999999,1.54
23,Vanadium,V,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d3', '4s2']",50.9415,135.0,134.0,0.12733440000000001,1.63
24,Chromium,Cr,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d5', '4s1']",51.9961,140.0,122.0,0.13130529999999999,1.66
25,Manganese,Mn,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d5', '4s2']",54.938044,140.0,119.0,0.1352844,1.55
26,Iron,Fe,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d6', '4s2']",55.845,140.0,115.99999999999999,0.13925320000000002,1.83
27,Cobalt,Co,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d7', '4s2']",58.933194,135.0,111.00000000000001,0.14323629999999998,1.88
28,Nickel,Ni,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d8', '4s2']",58.6934,135.0,110.00000000000001,0.1472068,1.91
29,Copper,Cu,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s1']",63.546,135.0,112.00000000000001,0.15117160000000002,1.9
30,Zinc,Zn,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2']",65.38,135.0,118.0,0.15515179999999998,1.65
31,Gallium,Ga,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2', '4p1']",69.723,130.0,124.0,0.17237729999999998,1.81
32,Germanium,Ge,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2', '4p2']",72.63,125.0,121.0,0.1895892,2.01
33,Arsenic,As,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2', '4p3']",74.921595,115.0,121.0,0.2068208,2.18
34,Selenium,Se,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2', '4p4']",78.971,115.0,115.99999999999999,0.2240328,2.55
35,Bromine,Br,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2', '4p5']",79.904,115.0,113.99999999999999,0.2412578,2.96
36,Krypton,Kr,"['1s2', '2s2', '2p6', '3s2', '3p6', '3d10', '4s2', '4p6']",83.798,,117.0,0.2584813,
37,Rubidium,Rb,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s1']",85.4678,235.0,210.0,0.10468599999999999,0.82
38,Strontium,Sr,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2']",87.62,200.0,185.0,0.1185082,0.95
39,Yttrium,Y,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '4d1', '5s2']",88.90584,180.0,163.0,0.1216986,1.22
40,Zirconium,Zr,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '4d2', '5s2']",91.224,155.0,154.0,0.12488869999999999,1.33
41,Niobium,Nb,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '4d4', '5s1']",92.90637,145.0,147.0,0.1280782,1.6
42,Molybdenum,Mo,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '4d5', '5s1']",95.95,145.0,138.0,0.1312672,2.16
