iter	RMSE
0	2.049074564
1	2.003849025
2	1.967349361
3	1.933926624
4	1.895095526
5	1.855371644
6	1.827251877
7	1.801422816
8	1.769557915
9	1.741079308
10	1.711531582
11	1.680637506
12	1.655886277
13	1.630984951
14	1.607443272
15	1.585051429
16	1.568078969
17	1.545203032
18	1.519983628
19	1.50030912
20	1.479627487
21	1.4588459
22	1.442688286
23	1.422626103
24	1.408931228
25	1.38979266
26	1.375920166
27	1.358183259
28	1.34184037
29	1.325803595
30	1.314910141
31	1.298169603
32	1.281242457
33	1.269286307
34	1.253845061
35	1.239413291
36	1.231338664
37	1.218650704
38	1.209707227
39	1.19799508
40	1.186367368
41	1.178325587
42	1.167392661
43	1.155631886
44	1.145344239
45	1.135318871
46	1.127341855
47	1.119454797
48	1.112592224
49	1.105590923
50	1.098847009
51	1.094295324
52	1.088215958
53	1.083036763
54	1.075700433
55	1.067424653
56	1.059968848
57	1.051712916
58	1.044403555
59	1.039081514
60	1.032141483
61	1.02606259
62	1.021691781
63	1.015815675
64	1.008654074
65	1.003873671
66	0.9990649145
67	0.9935851539
68	0.9867732661
69	0.9829263426
70	0.977474283
71	0.9720004439
72	0.9657969354
73	0.962246479
74	0.9572151951
75	0.9527795006
76	0.9480556384
77	0.9434618439
78	0.938231413
79	0.9350843384
80	0.9305161221
81	0.9258918917
82	0.9205886258
83	0.9179954049
84	0.9161543709
85	0.9128531637
86	0.9085485584
87	0.9045280629
88	0.9012995867
89	0.8971178052
90	0.8966882698
91	0.8930831559
92	0.8902276886
93	0.8851240126
94	0.882020963
95	0.8793810945
96	0.8770066329
97	0.874575334
98	0.8710217418
99	0.8686298381
100	0.8661025389
101	0.8636085779
102	0.8611495785
103	0.8591871667
104	0.8563154042
105	0.8534277214
106	0.8510607286
107	0.8478408719
108	0.8443086814
109	0.8426054514
110	0.8401534598
111	0.8370611858
112	0.8351873382
113	0.8319630269
114	0.826925223
115	0.8249732615
116	0.822937727
117	0.8207013974
118	0.8161286502
119	0.8155202585
120	0.8140119191
121	0.8115894811
122	0.8100278911
123	0.8095350449
124	0.8091537474
125	0.8070301972
126	0.8045281262
127	0.8018395864
128	0.799211933
129	0.7971500841
130	0.795778927
131	0.7944209412
132	0.7929580712
133	0.7907287709
134	0.7883058335
135	0.7856588004
136	0.7833970636
137	0.7809010989
138	0.7786721482
139	0.7773440519
140	0.7760730028
141	0.775565893
142	0.7750672159
143	0.7732454035
144	0.7720721872
145	0.7706690308
146	0.7697181837
147	0.7678330196
148	0.7643719673
149	0.7630063626
150	0.7597195601
151	0.7581556058
152	0.7568939788
153	0.7535695159
154	0.7508673511
155	0.7491826373
156	0.7481788286
157	0.7461994933
158	0.7446402179
159	0.7434068392
160	0.7416397626
161	0.7374760178
162	0.7358271025
163	0.735312236
164	0.7332455862
165	0.7319107697
166	0.7301000743
167	0.7277536938
168	0.726563916
169	0.7262058136
