iter	Passed	Remaining
0	154	154837
1	163	81429
2	172	57475
3	180	44962
4	191	38048
5	198	32884
6	208	29607
7	217	26930
8	224	24685
9	230	22847
10	238	21468
11	245	20244
12	254	19289
13	260	18369
14	268	17639
15	275	16939
16	283	16400
17	290	15852
18	298	15386
19	305	14952
20	312	14548
21	321	14288
22	333	14161
23	343	13952
24	353	13768
25	365	13690
26	374	13509
27	384	13338
28	393	13178
29	403	13055
30	413	12935
31	423	12805
32	431	12651
33	438	12464
34	446	12304
35	454	12164
36	462	12038
37	470	11922
38	479	11804
39	486	11686
40	493	11542
41	501	11444
42	508	11324
43	518	11257
44	525	11147
45	533	11062
46	540	10961
47	549	10895
48	556	10802
49	565	10742
50	571	10643
51	580	10578
52	587	10497
53	595	10440
54	602	10354
55	611	10313
56	619	10249
57	628	10209
58	635	10142
59	644	10097
60	651	10027
61	660	9987
62	669	9950
63	680	9945
64	687	9887
65	695	9847
66	703	9794
67	713	9779
68	732	9878
69	742	9862
70	750	9815
71	760	9800
72	767	9748
73	776	9721
74	784	9677
75	794	9656
76	801	9607
77	810	9579
78	817	9529
79	829	9538
80	836	9492
81	845	9465
82	853	9427
83	862	9400
84	870	9375
85	890	9465
86	897	9423
87	906	9393
88	914	9355
89	923	9333
90	930	9297
91	940	9285
92	948	9250
93	957	9230
94	964	9191
95	973	9168
96	981	9133
97	989	9109
98	997	9076
99	1005	9052
100	1013	9016
101	1021	8994
102	1029	8963
103	1039	8956
104	1047	8924
105	1055	8904
106	1062	8866
107	1071	8849
108	1078	8817
109	1087	8800
110	1095	8771
111	1103	8749
112	1110	8714
113	1122	8721
114	1133	8722
115	1142	8705
116	1152	8700
117	1161	8682
118	1171	8669
119	1179	8651
120	1188	8633
121	1197	8617
122	1207	8608
123	1216	8595
124	1224	8569
125	1233	8555
126	1240	8527
127	1249	8513
128	1258	8499
129	1268	8485
130	1275	8463
131	1285	8450
132	1293	8431
133	1302	8416
134	1309	8387
135	1318	8373
136	1325	8352
137	1334	8338
138	1342	8313
139	1351	8304
140	1359	8280
141	1367	8264
142	1374	8240
143	1383	8225
144	1391	8203
145	1400	8190
146	1406	8163
147	1415	8150
148	1423	8129
149	1432	8115
150	1439	8094
151	1449	8087
152	1456	8063
153	1464	8047
154	1472	8027
155	1481	8013
156	1489	7999
157	1499	7993
158	1513	8007
159	1522	7993
160	1533	7990
161	1543	7983
162	1551	7967
163	1560	7956
164	1569	7941
165	1578	7928
166	1585	7909
167	1594	7895
168	1601	7875
169	1610	7863
170	1618	7845
171	1627	7834
172	1634	7814
173	1644	7807
174	1651	7785
175	1661	7780
176	1669	7761
177	1678	7749
178	1685	7731
179	1694	7719
180	1703	7706
181	1711	7691
182	1718	7671
183	1729	7667
184	1738	7659
185	1747	7647
186	1758	7646
187	1767	7635
188	1776	7624
189	1784	7606
190	1793	7595
191	1801	7579
192	1809	7565
193	1816	7548
194	1825	7537
195	1833	7522
196	1843	7512
197	1850	7494
198	1858	7479
199	1865	7460
200	1875	7453
201	1882	7437
202	1891	7424
203	1898	7407
204	1910	7409
205	1921	7404
206	1930	7395
207	1940	7387
208	1950	7380
209	1957	7364
210	1966	7353
211	1974	7338
212	1983	7328
213	1991	7313
214	2000	7303
215	2007	7287
216	2019	7285
217	2026	7269
218	2035	7259
219	2043	7244
220	2052	7235
221	2060	7222
222	2069	7211
223	2077	7196
224	2086	7188
225	2094	7173
226	2103	7161
227	2110	7144
228	2119	7134
229	2126	7119
230	2135	7110
231	2143	7095
232	2155	7094
233	2167	7094
234	2174	7079
235	2184	7072
236	2191	7056
237	2200	7045
238	2208	7030
239	2217	7020
240	2224	7006
241	2233	6996
242	2241	6982
243	2249	6969
244	2256	6954
245	2265	6944
246	2273	6931
247	2283	6924
248	2292	6913
249	2299	6898
250	2313	6903
251	2324	6898
252	2335	6894
253	2353	6912
254	2368	6918
255	2380	6918
256	2392	6915
257	2404	6913
258	2417	6917
259	2429	6916
260	2439	6907
261	2449	6900
262	2461	6897
263	2472	6894
264	2480	6880
265	2490	6871
266	2498	6858
267	2507	6848
268	2514	6834
269	2523	6823
270	2531	6810
271	2543	6806
272	2551	6793
273	2560	6783
274	2568	6770
275	2577	6760
276	2587	6754
277	2596	6743
278	2605	6732
279	2612	6718
280	2621	6707
281	2628	6693
282	2637	6683
283	2646	6671
284	2655	6660
285	2661	6645
286	2670	6635
287	2678	6623
288	2689	6615
289	2701	6613
290	2709	6602
291	2719	6594
292	2729	6585
293	2738	6577
294	2746	6563
295	2755	6552
296	2762	6539
297	2771	6528
298	2778	6514
299	2787	6503
300	2795	6490
301	2805	6483
302	2812	6470
303	2821	6460
304	2828	6445
305	2837	6435
306	2844	6421
307	2854	6412
308	2862	6400
309	2871	6391
310	2883	6387
311	2893	6379
312	2905	6377
313	2916	6371
314	2923	6358
315	2932	6348
316	2940	6335
317	2949	6324
318	2956	6310
319	2964	6299
320	2971	6286
321	2980	6275
322	2988	6264
323	2997	6254
324	3006	6244
325	3015	6233
326	3022	6219
327	3031	6209
328	3038	6197
329	3047	6187
330	3054	6173
331	3063	6162
332	3070	6150
333	3080	6142
334	3088	6131
335	3100	6127
336	3112	6123
337	3121	6114
338	3134	6111
339	3144	6104
340	3151	6090
341	3161	6082
342	3168	6069
343	3178	6061
344	3186	6050
345	3195	6040
346	3203	6028
347	3212	6019
348	3220	6007
349	3229	5997
350	3238	5988
351	3247	5978
352	3254	5965
353	3263	5955
354	3270	5942
355	3279	5932
356	3286	5919
357	3296	5911
358	3303	5898
359	3313	5889
360	3320	5877
361	3330	5869
362	3338	5857
363	3346	5846
364	3354	5835
365	3362	5824
366	3371	5814
367	3378	5802
368	3385	5789
369	3394	5779
370	3402	5768
371	3410	5757
372	3417	5745
373	3426	5735
374	3433	5723
375	3442	5713
376	3450	5701
377	3458	5691
378	3465	5678
379	3474	5669
380	3486	5665
381	3495	5655
382	3503	5644
383	3511	5632
384	3521	5625
385	3530	5616
386	3541	5609
387	3551	5601
388	3558	5590
389	3567	5580
390	3575	5569
391	3583	5557
392	3590	5545
393	3598	5534
394	3606	5524
395	3614	5512
396	3623	5503
397	3630	5492
398	3640	5483
399	3649	5474
400	3656	5462
401	3665	5452
402	3672	5441
403	3680	5430
404	3688	5418
405	3697	5408
406	3704	5397
407	3712	5387
408	3721	5376
409	3728	5365
410	3738	5357
411	3748	5349
412	3756	5338
413	3766	5330
414	3775	5321
415	3785	5314
416	3795	5306
417	3805	5298
418	3815	5291
